学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
秋,GE70401,ディジタルライブラリ,52,38,3.49,3.45,3.26,3.34,1.13,3.00,1.66,3.05,2.95,3.19,3.26,3.08,3.27,3.19,3.13,3.22,3.05
春,GE70501,情報検索システム,55,36,3.61,3.43,3.24,3.36,1.00,3.17,1.56,3.28,3.03,3.47,3.36,3.28,3.19,3.24,3.03,3.33,3.15
春,GE70601,Webプログラミング,36,24,3.70,3.48,3.48,3.59,1.08,3.08,1.38,3.50,3.65,3.55,3.54,3.33,3.38,3.39,3.25,3.54,3.43
秋,GE70701,マルチメディアシステム,19,15,3.47,3.43,3.55,3.50,1.00,3.00,1.53,3.07,3.27,3.40,3.27,3.20,3.33,3.47,3.07,3.33,3.07
春,GE70801,データ表現と処理,40,27,3.67,3.73,3.48,3.59,1.04,2.96,1.26,3.26,3.12,3.42,3.50,3.52,3.48,3.48,3.41,3.37,3.50
秋,GE70901,データベース技術,28,25,3.44,3.35,3.41,3.39,1.04,2.88,1.24,3.40,3.36,3.36,3.36,3.28,3.32,3.28,3.22,3.32,3.36
春,GE71001,情報デザインとインタフェース,19,14,3.43,3.29,3.54,3.42,1.14,3.21,1.64,3.43,3.07,3.38,3.23,2.93,3.15,3.38,3.00,3.36,3.07
春,GE71201,知識資源の分析,30,26,3.68,3.64,3.60,3.64,1.08,2.96,1.62,3.23,3.13,3.31,3.50,3.48,3.39,3.33,3.23,3.50,3.36
秋,GE71301,知識資源の記述,19,19,3.39,3.29,3.25,3.28,1.05,3.11,1.42,2.74,2.32,3.21,3.37,3.32,2.94,3.00,2.89,3.21,2.89
秋,GE71501,クラウドコンピューティング,27,16,3.69,3.56,3.56,3.63,1.06,3.06,1.44,3.75,3.44,3.44,3.56,3.56,3.50,3.50,3.56,3.63,3.60
秋,GE71701,テキスト処理,19,13,3.38,3.50,3.58,3.50,1.08,3.00,1.62,3.23,2.92,3.38,3.31,3.38,3.38,3.08,3.08,3.62,3.46
秋,GE71801,データ構造とアルゴリズム,8,8,3.75,3.25,3.57,3.38,1.00,3.00,1.00,3.00,3.75,3.43,3.13,3.13,3.14,2.86,2.88,3.63,3.43
秋,GE72001,ソフトウェア工学,39,22,3.40,3.37,3.41,3.36,1.09,2.90,1.68,3.41,3.24,3.20,3.43,3.10,3.33,3.30,2.95,3.33,3.33
秋,GE72201,アーカイブズの利用,20,17,3.43,2.91,3.00,2.88,1.00,3.00,1.71,2.82,2.35,3.06,2.88,2.33,2.50,2.50,2.47,2.88,2.47
秋,GE72402,ディジタルキュレーション,20,17,3.47,3.47,3.59,3.59,1.18,2.88,1.35,3.41,2.76,3.25,3.24,3.29,3.12,3.06,3.31,3.41,3.35
春,GE72501,メディアアート,14,9,3.88,3.75,3.78,3.88,1.50,2.67,1.00,3.56,3.75,3.75,3.75,3.75,3.38,3.38,3.75,3.78,3.88
春,GE80103,情報資源経営実習,44,41,3.56,3.53,3.32,3.39,1.05,2.95,1.08,2.90,3.68,3.60,3.48,3.41,3.50,3.24,3.34,3.44,3.13
秋,GE80103,情報資源経営実習,44,39,3.41,3.38,3.18,3.32,1.00,3.03,1.05,2.82,3.67,3.32,3.29,3.20,3.19,3.17,3.13,3.26,3.00
秋,GE80201,図書館論,41,30,3.24,3.07,3.00,2.96,1.07,3.00,1.47,2.87,2.52,3.13,3.00,3.11,3.18,2.88,3.00,3.00,2.83
春,GE80301,学術情報基盤論,18,14,3.62,3.43,3.45,3.50,1.14,3.36,1.71,3.00,2.57,3.31,3.23,3.21,3.29,3.43,2.86,3.36,3.00
春,GE80401,経営情報システム論,30,27,3.74,3.64,3.60,3.64,1.07,3.30,1.26,3.22,3.31,3.35,3.58,3.35,3.46,3.52,3.23,3.58,3.50
春,GE80501,情報サービス経営論,93,89,3.60,3.50,3.53,3.54,1.13,3.00,1.72,3.11,2.74,3.33,3.54,3.31,3.38,3.42,3.26,3.43,3.34
春,GE80601,情報経済論,31,30,2.00,1.86,2.14,2.07,1.03,3.03,1.50,2.66,2.25,1.96,1.71,1.91,2.00,1.77,1.96,2.23,2.00
秋,GE80801,情報サービス構成論,34,30,3.87,3.67,3.39,3.55,1.07,3.00,1.07,2.97,3.31,3.57,3.60,3.57,3.53,3.37,3.30,3.37,3.23
秋,GE80901,コレクションとアクセス,88,60,3.67,3.60,3.45,3.47,1.12,2.92,1.60,3.08,3.05,3.45,3.52,3.44,3.48,3.33,3.32,3.42,3.22
春,GE81001,教育文化政策,19,17,3.71,3.59,3.69,3.65,1.00,3.12,1.12,3.29,3.06,3.56,3.65,3.41,3.41,3.50,3.06,3.47,3.47
秋,GE81101,メディア教育の実践と評価,31,28,3.48,3.37,3.31,3.38,1.00,3.11,1.39,3.04,3.07,3.36,3.14,3.21,3.18,3.12,3.07,3.21,2.88
秋,GE81201,学校図書館論,43,40,3.36,3.17,3.20,3.17,1.40,3.28,1.58,2.87,2.58,2.94,3.03,3.08,3.30,2.78,2.95,3.23,2.87
春,GE81301,情報法,35,21,3.67,3.43,3.39,3.50,1.10,3.05,1.29,3.00,2.68,3.35,3.43,3.38,3.38,3.10,3.14,3.33,3.25
春,GE81401,知的財産権論A,11,8,3.75,3.38,3.29,3.57,1.00,3.38,1.38,3.00,3.63,3.75,3.75,3.86,3.75,3.50,3.57,3.63,3.25
秋,GE81901,図書館文化史論,61,51,3.50,3.44,3.46,3.50,1.18,3.04,1.64,3.16,2.62,3.23,3.34,3.34,3.36,3.25,3.28,3.27,3.16
秋,GE82001,中国図書学,33,27,3.35,3.20,3.23,3.23,1.11,3.22,1.35,2.74,2.22,3.13,3.07,3.04,2.96,3.00,2.89,3.19,2.81
春,GE82101,日本図書学,51,37,3.43,3.31,3.41,3.43,1.00,3.14,1.54,3.24,2.51,3.16,3.22,3.22,3.16,3.22,3.11,3.30,3.17
春,GE82201,アーカイブズの構築,35,32,3.53,3.31,3.41,3.34,1.06,3.26,1.41,3.00,2.45,3.20,3.25,3.22,3.38,3.27,3.09,3.34,3.16
秋,GE82501,映像メディア論,87,59,3.62,3.42,3.37,3.58,1.61,2.97,1.64,3.02,3.07,3.46,3.42,3.32,3.53,2.96,3.19,3.39,3.17
春,GE82601,パブリックガバナンス,58,55,3.67,3.45,3.35,3.46,1.02,3.02,1.20,2.89,3.07,3.26,3.36,3.31,3.24,3.23,3.08,3.22,3.10
