学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
春,GE80301,学術情報基盤論,22,18,3.56,3.56,3.50,3.50,1.17,3.33,1.67,3.00,2.94,3.44,3.56,3.22,3.44,3.50,3.00,3.33,3.11
春,GE80401,経営情報システム論,41,24,3.63,3.75,3.50,3.58,1.04,2.96,1.46,3.29,3.04,3.50,3.58,3.67,3.42,3.42,3.29,3.42,3.29
春,GE80501,情報サービス経営論,102,94,3.52,3.40,3.44,3.46,1.07,3.00,1.88,3.12,2.63,3.30,3.52,3.28,3.48,3.35,3.19,3.38,3.35
秋,GE80801,情報サービス構成論,29,27,3.93,3.85,3.59,3.70,1.00,3.04,1.30,3.15,3.67,3.77,3.70,3.78,3.70,3.42,3.48,3.52,3.44
秋,GE80901,コレクションとアクセス,104,66,3.79,3.68,3.41,3.55,1.11,2.86,1.67,3.05,2.89,3.57,3.64,3.45,3.48,3.29,3.32,3.41,3.21
秋,GE81101,メディア教育の実践と評価,32,26,3.69,3.62,3.68,3.64,1.00,3.12,1.50,2.96,2.96,3.44,3.50,3.50,3.62,3.56,3.38,3.50,3.27
秋,GE81201,学校図書館論,62,58,3.45,3.35,3.29,3.37,1.43,3.21,1.86,2.86,2.72,3.22,3.19,3.12,3.23,2.94,3.09,3.28,3.05
春,GE81301,情報法,45,38,3.50,3.47,3.22,3.32,1.00,3.18,1.66,2.82,2.74,3.28,2.97,3.16,3.18,3.09,2.97,3.18,3.00
秋,GE81401,知的財産権論A,14,9,3.33,3.22,3.33,3.57,1.00,3.11,1.56,2.89,3.44,3.44,3.11,3.22,3.11,3.22,3.11,3.33,3.00
秋,GE81901,図書館文化史論,52,39,3.77,3.74,3.62,3.82,1.08,3.03,2.03,3.28,2.77,3.43,3.62,3.56,3.72,3.59,3.54,3.67,3.46
春,GE82101,日本図書学,47,42,3.53,3.50,3.36,3.42,1.10,3.12,2.02,2.98,2.39,3.20,3.20,3.31,3.13,3.24,3.10,3.34,3.10
春,GE82201,アーカイブズの構築,53,47,3.57,3.61,3.49,3.48,1.04,3.06,1.68,3.00,2.61,3.32,3.32,3.40,3.36,3.49,3.24,3.39,3.22
秋,GE82501,映像メディア論,122,81,3.65,3.53,3.47,3.47,1.44,3.11,1.91,3.09,3.03,3.44,3.38,3.38,3.53,3.04,3.21,3.41,3.10
秋,GE82601,パブリックガバナンス,94,81,3.75,3.63,3.53,3.59,1.09,3.09,1.65,3.04,2.78,3.40,3.56,3.52,3.59,3.53,3.30,3.47,3.32
